targy_nev,kredit,felelos,nyelv,link
A szellemi tulajdon védelme,6,Prof. Dr. Gulácsi László,magyar,https://www.uni-corvinus.hu/tantargyak/4EG59NAV14M?semester=2019/20/2
A szeretetről való gondolkodás Nyugaton (filozófiai szövegolvasó szeminárium),3,Dr. Toronyai Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/TARS074NMBB?semester=2023/24/1
A szervezetszociológia alapjai,3,Dr. Czakó Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKE3B?semester=2019/20/2
A szociálpszichológia alapjai,3,Dr. Forgács Attila,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NCK02B?semester=2021/22/1
A szociológia alapjai,6,Hajdu Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NBK52B?semester=2024/25/2
A szociológia alapjai,magyar,Dr. Hegedűs Rita,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NSZ52B?semester=2025/26/1
A szociológiai adatfelvétel alapjai,6,Sz. Biró Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NCKP5B?semester=2025/26/1
A Szovjetunió II. világháború utáni története (1945-1991),3,Dr. Hoppál Bulcsú Kál,magyar,https://www.uni-corvinus.hu/tantargyak/7NK40NDVH6B?semester=2019/20/2
A tanácsadás/mentorálás elméleti alapjai,3,Dr. Sass Judit Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKC6S?semester=2020/21/1
"A tanácsadás/mentorálás módszertana, gyakorlata",4,Dr. Sass Judit Gabriella,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKC7S?semester=2020/21/1
A tanári és tanulói kompetenciák fejlesztése,3,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKC8S?semester=2020/21/1
"A tanítás, tanulás folyamata",3,Dr. Pfister Éva,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LPK32M?semester=2019/20/2
A tanulók személyiségének fejlesztése,2,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LPKA7M?semester=2021/22/2
A társadalmi kommunikáció elméletei,3,Dr. Veszelszki Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NAKB6M?semester=2019/20/2
A társadalomkutatás módszerei,3,Dr. Hegedűs Rita,magyar,https://www.uni-corvinus.hu/tantargyak/7SO30NEK17B?semester=2023/24/1
A társadalomkutatás módszerei I-II.,6,Hajdu Miklós,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20NEKB4B?semester=2025/26/1
A társadalomtudomány alapjai,4,Dr. Ságvári Bence,magyar,https://www.uni-corvinus.hu/tantargyak/KSSZ011NMBB?semester=2025/26/1
A tehetséggondozás támogatása,3,Csillik Olga,magyar,https://www.uni-corvinus.hu/tantargyak/7PE20LAKC9S?semester=2020/21/1
A tudományos közlés rejtelmei,6,Dr. Csutora Mária,magyar,https://www.uni-corvinus.hu/tantargyak/PHG_ACAD_WRIÍTING?semester=2019/20/2
A tudományos közlés rejtelmei,6,Dr. Csutora Mária,magyar,https://www.uni-corvinus.hu/tantargyak/PHG030?semester=2024/25/2
A turizmus alapjai,6,Dr. Miskolczi Márk,magyar,https://www.uni-corvinus.hu/tantargyak/MATT011NMBB?semester=2025/26/1
A turizmus alapjai,6,Dr. Keller Krisztina,magyar,https://www.uni-corvinus.hu/tantargyak/FENT020NMBB?semester=2024/25/1
A turizmus elméleti alapjai,5,Dr. Michalkó Gábor,magyar,https://www.uni-corvinus.hu/tantargyak/2MA41NAK18M?semester=2025/26/1
A turizmus elosztási csatornái,4,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/2GF26NCK18B?semester=2024/25/1
A turizmus elosztási csatornái,4,Dr. Jászberényi Melinda,magyar,https://www.uni-corvinus.hu/tantargyak/2GF26NCK18SB?semester=2025/26/1
A turizmus gazdasági joga,4,Dr. Nemessányi Zoltán,magyar,https://www.uni-corvinus.hu/tantargyak/2JO11NAK06B?semester=2021/22/2
A vállalkozásfejlesztés speciális menedzsmentje,6,dr. Kállay László Tibor,magyar,https://www.uni-corvinus.hu/tantargyak/VF00050NMBS?semester=2025/26/1
A vezetés jó gyakorlatai,6,Strausz Péter,magyar,https://www.uni-corvinus.hu/tantargyak/VEZ0071NMBB?semester=2025/26/1
